Group,Device,Reading,DateTime
2,20,20.12,21/3/2024 16/23
2,21,20.75,21/3/2024 16/23
2,22,20.5,21/3/2024 16/23
2,0,20.69,21/3/2024 16/24
2,1,20.5,21/3/2024 16/24
2,2,20.62,21/3/2024 16/24
2,3,21.44,21/3/2024 16/24
2,5,20.87,21/3/2024 16/24
2,6,20.5,21/3/2024 16/24
2,7,20.44,21/3/2024 16/24
2,8,20.94,21/3/2024 16/24
2,9,20.87,21/3/2024 16/24
2,10,20.94,21/3/2024 16/24
2,11,20.56,21/3/2024 16/24
2,12,20,21/3/2024 16/24
2,13,20.62,21/3/2024 16/24
2,14,20.81,21/3/2024 16/24
2,15,20.5,21/3/2024 16/24
2,16,20.19,21/3/2024 16/24
2,17,20.5,21/3/2024 16/24
2,18,20.12,21/3/2024 16/24
2,19,20.37,21/3/2024 16/24
2,20,20.12,21/3/2024 16/24
2,21,20.81,21/3/2024 16/24
2,22,20.5,21/3/2024 16/24
2,0,20.69,21/3/2024 16/26
2,1,20.56,21/3/2024 16/26
2,2,20.62,21/3/2024 16/26
2,3,21.37,21/3/2024 16/26
2,4,19.81,21/3/2024 16/26
2,5,20.87,21/3/2024 16/26
2,6,20.56,21/3/2024 16/26
2,7,20.5,21/3/2024 16/26
2,8,20.94,21/3/2024 16/26
2,9,20.87,21/3/2024 16/26
2,10,20.87,21/3/2024 16/26
2,11,20.62,21/3/2024 16/26
2,12,20,21/3/2024 16/26
2,13,20.62,21/3/2024 16/26
2,14,20.75,21/3/2024 16/26
2,15,20.44,21/3/2024 16/26
2,16,20.19,21/3/2024 16/26
2,17,20.5,21/3/2024 16/26
2,18,20.12,21/3/2024 16/26
2,19,20.37,21/3/2024 16/26
2,20,20.19,21/3/2024 16/26
2,21,20.81,21/3/2024 16/26
2,22,20.5,21/3/2024 16/26
2,0,20.69,21/3/2024 16/27
2,1,20.5,21/3/2024 16/27
2,2,20.62,21/3/2024 16/27
2,3,21.37,21/3/2024 16/27
2,4,19.81,21/3/2024 16/27
2,5,20.87,21/3/2024 16/27
2,6,20.56,21/3/2024 16/27
2,7,20.44,21/3/2024 16/27
2,8,20.94,21/3/2024 16/27
2,9,20.87,21/3/2024 16/27
2,10,20.87,21/3/2024 16/27
2,11,20.56,21/3/2024 16/27
2,12,20,21/3/2024 16/27
2,13,20.62,21/3/2024 16/27
2,14,20.75,21/3/2024 16/27
2,15,20.44,21/3/2024 16/27
2,16,20.12,21/3/2024 16/27
2,17,20.5,21/3/2024 16/27
2,18,20.12,21/3/2024 16/27
2,19,20.31,21/3/2024 16/27
2,20,20.12,21/3/2024 16/27
2,21,20.81,21/3/2024 16/27
2,22,20.5,21/3/2024 16/27
2,0,20.62,21/3/2024 16/28
2,1,20.5,21/3/2024 16/28
2,2,20.62,21/3/2024 16/28
2,3,21.37,21/3/2024 16/28
2,4,19.81,21/3/2024 16/28
2,5,20.87,21/3/2024 16/28
2,6,20.5,21/3/2024 16/28
2,8,20.94,21/3/2024 16/28
2,9,20.94,21/3/2024 16/28
2,10,20.87,21/3/2024 16/28
2,11,20.56,21/3/2024 16/28
2,12,19.94,21/3/2024 16/28
2,13,20.62,21/3/2024 16/28
2,14,20.81,21/3/2024 16/28
2,15,20.44,21/3/2024 16/28
2,16,20.19,21/3/2024 16/28
2,17,20.44,21/3/2024 16/28
2,18,20.06,21/3/2024 16/28
2,19,20.31,21/3/2024 16/28
2,20,20.12,21/3/2024 16/28
2,21,20.87,21/3/2024 16/28
2,0,20.69,21/3/2024 16/30
2,1,20.56,21/3/2024 16/30
2,2,20.69,21/3/2024 16/30
2,3,21.37,21/3/2024 16/30
2,4,19.87,21/3/2024 16/30
2,5,20.87,21/3/2024 16/30
2,6,20.5,21/3/2024 16/30
2,7,20.44,21/3/2024 16/30
2,8,20.94,21/3/2024 16/30
2,9,21,21/3/2024 16/30
2,10,20.94,21/3/2024 16/30
2,11,20.56,21/3/2024 16/30
2,12,20,21/3/2024 16/30
2,13,20.62,21/3/2024 16/30
2,14,37.63,21/3/2024 16/30
2,15,20.44,21/3/2024 16/30
2,16,20.19,21/3/2024 16/30
2,17,20.5,21/3/2024 16/30
2,18,20.12,21/3/2024 16/30
2,19,20.37,21/3/2024 16/30
2,20,20.12,21/3/2024 16/30
2,21,20.81,21/3/2024 16/30
2,22,20.5,21/3/2024 16/30
2,0,20.69,21/3/2024 16/31
2,1,20.56,21/3/2024 16/31
2,2,20.62,21/3/2024 16/31
2,3,21.37,21/3/2024 16/31
2,4,19.81,21/3/2024 16/31
2,5,20.87,21/3/2024 16/31
2,6,20.56,21/3/2024 16/31
2,7,20.5,21/3/2024 16/31
2,8,20.94,21/3/2024 16/31
2,9,20.94,21/3/2024 16/31
2,10,20.94,21/3/2024 16/31
2,11,20.62,21/3/2024 16/31
2,12,20,21/3/2024 16/31
2,13,20.69,21/3/2024 16/31
2,14,56.81,21/3/2024 16/31
2,15,20.44,21/3/2024 16/31
2,16,20.19,21/3/2024 16/31
2,17,20.5,21/3/2024 16/31
2,18,20.19,21/3/2024 16/31
2,19,20.31,21/3/2024 16/31
2,20,20.19,21/3/2024 16/31
2,21,20.81,21/3/2024 16/31
2,22,20.5,21/3/2024 16/31
2,0,20.69,21/3/2024 16/32
2,1,20.5,21/3/2024 16/32
2,2,20.62,21/3/2024 16/32
2,3,21.37,21/3/2024 16/32
2,4,19.87,21/3/2024 16/32
2,5,20.94,21/3/2024 16/32
2,6,20.56,21/3/2024 16/32
2,7,20.44,21/3/2024 16/32
2,8,20.94,21/3/2024 16/32
2,9,20.87,21/3/2024 16/32
2,10,20.87,21/3/2024 16/32
2,11,20.56,21/3/2024 16/32
2,12,20.06,21/3/2024 16/32
2,13,20.62,21/3/2024 16/32
2,14,39.94,21/3/2024 16/32
2,15,20.44,21/3/2024 16/32
2,16,20.25,21/3/2024 16/32
2,18,20.19,21/3/2024 16/32
2,19,20.31,21/3/2024 16/32
2,20,20.12,21/3/2024 16/32
2,21,20.87,21/3/2024 16/32
2,22,20.44,21/3/2024 16/32
3,0,20.75,21/3/2024 16/23
3,1,21.12,21/3/2024 16/23
3,3,21.75,21/3/2024 16/23
3,4,20.44,21/3/2024 16/23
3,5,20.44,21/3/2024 16/23
3,6,20.94,21/3/2024 16/23
3,7,20.81,21/3/2024 16/23
3,8,20.87,21/3/2024 16/23
3,9,20.56,21/3/2024 16/23
3,10,20.81,21/3/2024 16/23
3,11,21.12,21/3/2024 16/23
3,12,20.19,21/3/2024 16/23
3,13,20.69,21/3/2024 16/23
3,14,21.25,21/3/2024 16/23
3,15,21.06,21/3/2024 16/23
3,16,20.5,21/3/2024 16/23
3,17,21.12,21/3/2024 16/23
3,18,20.31,21/3/2024 16/23
3,19,20.69,21/3/2024 16/23
3,20,20.75,21/3/2024 16/23
3,21,20.44,21/3/2024 16/23
3,22,20.25,21/3/2024 16/23
3,0,20.75,21/3/2024 16/24
3,1,21.12,21/3/2024 16/24
3,2,21.12,21/3/2024 16/24
3,3,21.81,21/3/2024 16/24
3,4,20.44,21/3/2024 16/24
3,5,20.37,21/3/2024 16/24
3,6,20.94,21/3/2024 16/24
3,7,20.87,21/3/2024 16/24
3,8,20.87,21/3/2024 16/24
3,9,20.5,21/3/2024 16/24
3,10,20.81,21/3/2024 16/24
3,11,21.12,21/3/2024 16/24
3,12,20.06,21/3/2024 16/24
3,13,20.69,21/3/2024 16/24
3,14,21.25,21/3/2024 16/24
3,15,21.06,21/3/2024 16/24
3,16,20.5,21/3/2024 16/24
3,17,21.12,21/3/2024 16/24
3,18,20.5,21/3/2024 16/24
3,0,20.75,21/3/2024 16/27
3,1,21.19,21/3/2024 16/27
3,2,21.06,21/3/2024 16/27
3,3,21.81,21/3/2024 16/27
3,4,20.44,21/3/2024 16/27
3,5,20.44,21/3/2024 16/27
3,6,20.87,21/3/2024 16/27
3,7,20.94,21/3/2024 16/27
3,8,20.87,21/3/2024 16/27
3,9,20.5,21/3/2024 16/27
3,10,20.81,21/3/2024 16/27
3,11,21.19,21/3/2024 16/27
3,12,20.06,21/3/2024 16/27
3,13,20.62,21/3/2024 16/27
3,14,21.25,21/3/2024 16/27
3,15,21,21/3/2024 16/27
3,16,20.5,21/3/2024 16/27
3,17,21.12,21/3/2024 16/27
3,18,20.37,21/3/2024 16/27
3,19,20.75,21/3/2024 16/27
3,20,20.75,21/3/2024 16/27
3,21,20.37,21/3/2024 16/27
3,0,20.75,21/3/2024 16/28
3,1,21.19,21/3/2024 16/28
3,2,21.19,21/3/2024 16/28
3,3,21.75,21/3/2024 16/28
3,4,20.37,21/3/2024 16/28
3,5,20.44,21/3/2024 16/28
3,6,20.94,21/3/2024 16/28
3,7,20.94,21/3/2024 16/28
3,8,20.87,21/3/2024 16/28
3,9,20.5,21/3/2024 16/28
3,10,20.81,21/3/2024 16/28
3,11,21.12,21/3/2024 16/28
3,12,20.06,21/3/2024 16/28
3,13,20.62,21/3/2024 16/28
3,14,21.25,21/3/2024 16/28
3,15,21.06,21/3/2024 16/28
3,16,20.44,21/3/2024 16/28
3,17,21.12,21/3/2024 16/28
3,18,20.44,21/3/2024 16/28
3,19,20.75,21/3/2024 16/28
3,20,20.75,21/3/2024 16/28
3,21,20.37,21/3/2024 16/28
3,0,20.69,21/3/2024 16/30
3,1,21.12,21/3/2024 16/30
3,2,21.12,21/3/2024 16/30
3,3,21.81,21/3/2024 16/30
3,4,20.44,21/3/2024 16/30
3,5,20.5,21/3/2024 16/30
3,6,20.94,21/3/2024 16/30
3,7,20.94,21/3/2024 16/30
3,8,20.87,21/3/2024 16/30
3,9,20.5,21/3/2024 16/30
3,10,20.81,21/3/2024 16/30
3,11,21.19,21/3/2024 16/30
3,12,20.06,21/3/2024 16/30
3,13,20.62,21/3/2024 16/30
3,14,21.25,21/3/2024 16/30
3,15,21,21/3/2024 16/30
3,16,20.5,21/3/2024 16/30
3,17,21.19,21/3/2024 16/30
3,18,20.44,21/3/2024 16/30
3,19,20.81,21/3/2024 16/30
3,20,20.75,21/3/2024 16/30
3,21,20.37,21/3/2024 16/30
3,0,20.69,21/3/2024 16/34
3,1,21.19,21/3/2024 16/34
3,2,21.12,21/3/2024 16/34
3,3,21.75,21/3/2024 16/34
3,4,20.5,21/3/2024 16/34
3,5,20.44,21/3/2024 16/34
3,6,21,21/3/2024 16/34
3,7,21.06,21/3/2024 16/34
3,8,20.87,21/3/2024 16/34
3,9,20.5,21/3/2024 16/34
3,10,20.87,21/3/2024 16/34
3,11,21.12,21/3/2024 16/34
3,12,20.12,21/3/2024 16/34
3,13,20.62,21/3/2024 16/34
3,14,21.25,21/3/2024 16/34
3,15,21.06,21/3/2024 16/34
3,16,20.5,21/3/2024 16/34
3,17,21.19,21/3/2024 16/34
3,18,20.5,21/3/2024 16/34
3,19,20.75,21/3/2024 16/34
3,20,20.75,21/3/2024 16/34
3,21,20.37,21/3/2024 16/34
3,22,20.19,21/3/2024 16/34
3,0,20.75,21/3/2024 16/35
3,1,21.19,21/3/2024 16/35
3,2,21.12,21/3/2024 16/35
3,3,21.81,21/3/2024 16/35
3,4,20.5,21/3/2024 16/35
3,5,20.5,21/3/2024 16/35
3,6,21,21/3/2024 16/35
3,7,21,21/3/2024 16/35
3,8,20.87,21/3/2024 16/35
3,9,20.56,21/3/2024 16/35
3,10,20.87,21/3/2024 16/35
3,11,21.12,21/3/2024 16/35
3,12,20.06,21/3/2024 16/35
3,13,20.62,21/3/2024 16/35
3,14,21.19,21/3/2024 16/35
3,15,21.06,21/3/2024 16/35
3,16,20.5,21/3/2024 16/35
3,17,21.12,21/3/2024 16/35
3,18,20.44,21/3/2024 16/35
3,19,20.75,21/3/2024 16/35
3,20,20.75,21/3/2024 16/35
3,21,20.37,21/3/2024 16/35
3,22,20.31,21/3/2024 16/35
3,0,20.75,21/3/2024 16/36
3,1,21.19,21/3/2024 16/36
3,2,21.19,21/3/2024 16/36
3,3,21.75,21/3/2024 16/36
3,4,20.44,21/3/2024 16/36
3,5,20.5,21/3/2024 16/36
3,6,21,21/3/2024 16/36
3,7,20.94,21/3/2024 16/36
3,8,20.94,21/3/2024 16/36
3,9,20.5,21/3/2024 16/36
3,10,20.87,21/3/2024 16/36
3,11,21.12,21/3/2024 16/36
3,12,20.12,21/3/2024 16/36
3,13,20.62,21/3/2024 16/36
3,14,21.25,21/3/2024 16/36
3,15,21.06,21/3/2024 16/36
3,16,20.5,21/3/2024 16/36
3,17,21.19,21/3/2024 16/36
3,18,20.44,21/3/2024 16/36
3,19,20.81,21/3/2024 16/36
3,20,20.75,21/3/2024 16/36
3,21,20.44,21/3/2024 16/36
3,22,20.25,21/3/2024 16/36
3,0,20.75,21/3/2024 16/37
3,1,21.19,21/3/2024 16/37
3,2,21.12,21/3/2024 16/37
3,3,21.81,21/3/2024 16/37
3,4,20.44,21/3/2024 16/37
3,5,20.44,21/3/2024 16/37
3,6,20.94,21/3/2024 16/37
3,7,20.94,21/3/2024 16/37
3,8,20.87,21/3/2024 16/37
3,9,20.5,21/3/2024 16/37
3,10,20.81,21/3/2024 16/37
3,11,21.19,21/3/2024 16/37
3,12,20.12,21/3/2024 16/37
3,13,20.69,21/3/2024 16/37
3,14,21.25,21/3/2024 16/37
3,15,21.06,21/3/2024 16/37
3,16,20.5,21/3/2024 16/37
3,17,21.19,21/3/2024 16/37
3,18,20.44,21/3/2024 16/37
3,19,20.81,21/3/2024 16/37
3,20,20.75,21/3/2024 16/37
3,21,20.44,21/3/2024 16/37
3,22,20.25,21/3/2024 16/37
3,0,20.75,21/3/2024 16/27
3,1,21.19,21/3/2024 16/27
3,2,21.19,21/3/2024 16/27
3,3,21.81,21/3/2024 16/27
3,4,20.5,21/3/2024 16/27
3,5,20.56,21/3/2024 16/27
3,6,21,21/3/2024 16/27
3,7,21,21/3/2024 16/27
3,8,20.94,21/3/2024 16/27
3,9,20.62,21/3/2024 16/27
3,10,20.87,21/3/2024 16/27
3,11,21.25,21/3/2024 16/27
3,12,20.19,21/3/2024 16/27
3,13,20.69,21/3/2024 16/27
3,14,21.31,21/3/2024 16/27
3,15,21.06,21/3/2024 16/27
3,16,20.62,21/3/2024 16/27
3,17,21.25,21/3/2024 16/27
3,18,20.44,21/3/2024 16/27
3,19,20.81,21/3/2024 16/27
3,20,20.81,21/3/2024 16/27
3,21,20.5,21/3/2024 16/27
3,22,20.44,21/3/2024 16/27
3,0,20.81,21/3/2024 16/28
3,1,21.19,21/3/2024 16/28
3,3,21.81,21/3/2024 16/28
3,4,20.5,21/3/2024 16/28
3,5,20.62,21/3/2024 16/28
3,6,21.06,21/3/2024 16/28
3,7,21,21/3/2024 16/28
3,8,20.94,21/3/2024 16/28
3,9,20.69,21/3/2024 16/28
3,10,20.87,21/3/2024 16/28
3,11,21.25,21/3/2024 16/28
3,12,20.25,21/3/2024 16/28
3,13,20.75,21/3/2024 16/28
3,14,21.31,21/3/2024 16/28
3,15,21.12,21/3/2024 16/28
3,16,20.62,21/3/2024 16/28
3,17,21.25,21/3/2024 16/28
3,18,20.5,21/3/2024 16/28
3,19,20.81,21/3/2024 16/28
3,20,20.81,21/3/2024 16/28
3,21,20.5,21/3/2024 16/28
3,22,20.37,21/3/2024 16/28
3,0,20.75,21/3/2024 16/30
3,1,21.19,21/3/2024 16/30
3,2,21.25,21/3/2024 16/30
3,3,21.81,21/3/2024 16/30
3,4,20.56,21/3/2024 16/30
3,5,20.69,21/3/2024 16/30
3,6,21.06,21/3/2024 16/30
3,7,21.06,21/3/2024 16/30
3,8,21,21/3/2024 16/30
3,9,20.62,21/3/2024 16/30
3,10,20.87,21/3/2024 16/30
3,11,21.25,21/3/2024 16/30
3,12,20.25,21/3/2024 16/30
3,13,20.75,21/3/2024 16/30
3,14,21.31,21/3/2024 16/30
3,15,21.12,21/3/2024 16/30
3,16,20.56,21/3/2024 16/30
3,17,21.25,21/3/2024 16/30
3,18,20.44,21/3/2024 16/30
3,19,20.87,21/3/2024 16/30
3,20,20.81,21/3/2024 16/30
3,21,20.5,21/3/2024 16/30
3,22,20.44,21/3/2024 16/30
3,0,20.69,21/3/2024 16/23
3,1,20.44,21/3/2024 16/23
3,2,20.62,21/3/2024 16/23
3,3,21.37,21/3/2024 16/23
3,4,19.81,21/3/2024 16/23
3,5,20.87,21/3/2024 16/23
3,6,20.44,21/3/2024 16/23
3,7,20.44,21/3/2024 16/23
3,8,20.94,21/3/2024 16/23
3,9,20.81,21/3/2024 16/23
3,10,20.87,21/3/2024 16/23
3,11,20.56,21/3/2024 16/23
3,12,20.06,21/3/2024 16/23
3,13,20.69,21/3/2024 16/23
3,14,20.69,21/3/2024 16/23
3,15,20.44,21/3/2024 16/23
3,16,20.19,21/3/2024 16/23
3,17,20.5,21/3/2024 16/23
3,18,20.06,21/3/2024 16/23
3,19,20.31,21/3/2024 16/23
3,20,20.12,21/3/2024 16/23
3,21,20.75,21/3/2024 16/23
3,22,20.5,21/3/2024 16/23
3,0,20.69,21/3/2024 16/24
3,1,20.5,21/3/2024 16/24
3,2,20.62,21/3/2024 16/24
3,3,21.44,21/3/2024 16/24
3,5,20.87,21/3/2024 16/24
3,6,20.5,21/3/2024 16/24
3,7,20.44,21/3/2024 16/24
3,8,20.94,21/3/2024 16/24
3,9,20.87,21/3/2024 16/24
3,10,20.94,21/3/2024 16/24
3,11,20.56,21/3/2024 16/24
3,12,20,21/3/2024 16/24
3,13,20.62,21/3/2024 16/24
3,14,20.81,21/3/2024 16/24
3,15,20.5,21/3/2024 16/24
3,16,20.19,21/3/2024 16/24
3,17,20.5,21/3/2024 16/24
3,18,20.12,21/3/2024 16/24
3,19,20.37,21/3/2024 16/24
3,20,20.12,21/3/2024 16/24
3,21,20.81,21/3/2024 16/24
3,22,20.5,21/3/2024 16/24
3,0,20.69,21/3/2024 16/26
3,1,20.56,21/3/2024 16/26
3,2,20.62,21/3/2024 16/26
3,3,21.37,21/3/2024 16/26
3,4,19.81,21/3/2024 16/26
3,5,20.87,21/3/2024 16/26
3,6,20.56,21/3/2024 16/26
3,7,20.5,21/3/2024 16/26
3,8,20.94,21/3/2024 16/26
3,9,20.87,21/3/2024 16/26
3,10,20.87,21/3/2024 16/26
3,11,20.62,21/3/2024 16/26
3,12,20,21/3/2024 16/26
3,13,20.62,21/3/2024 16/26
3,14,20.75,21/3/2024 16/26
3,15,20.44,21/3/2024 16/26
3,16,20.19,21/3/2024 16/26
3,17,20.5,21/3/2024 16/26
3,18,20.12,21/3/2024 16/26
3,19,20.37,21/3/2024 16/26
3,20,20.19,21/3/2024 16/26
3,21,20.81,21/3/2024 16/26
3,22,20.5,21/3/2024 16/26
3,0,20.69,21/3/2024 16/27
3,1,20.5,21/3/2024 16/27
3,2,20.62,21/3/2024 16/27
3,3,21.37,21/3/2024 16/27
3,4,19.81,21/3/2024 16/27
3,5,20.87,21/3/2024 16/27
3,6,20.56,21/3/2024 16/27
3,7,20.44,21/3/2024 16/27
3,8,20.94,21/3/2024 16/27
3,9,20.87,21/3/2024 16/27
3,10,20.87,21/3/2024 16/27
3,11,20.56,21/3/2024 16/27
3,12,20,21/3/2024 16/27
3,13,20.62,21/3/2024 16/27
3,14,20.75,21/3/2024 16/27
3,15,20.44,21/3/2024 16/27
3,16,20.12,21/3/2024 16/27
3,17,20.5,21/3/2024 16/27
3,18,20.12,21/3/2024 16/27
3,19,20.31,21/3/2024 16/27
3,20,20.12,21/3/2024 16/27
3,21,20.81,21/3/2024 16/27
3,22,20.5,21/3/2024 16/27
3,0,20.62,21/3/2024 16/28
3,1,20.5,21/3/2024 16/28
3,2,20.62,21/3/2024 16/28
3,3,21.37,21/3/2024 16/28
3,4,19.81,21/3/2024 16/28
3,5,20.87,21/3/2024 16/28
3,6,20.5,21/3/2024 16/28
3,8,20.94,21/3/2024 16/28
3,9,20.94,21/3/2024 16/28
3,10,20.87,21/3/2024 16/28
3,11,20.56,21/3/2024 16/28
3,12,19.94,21/3/2024 16/28
3,13,20.62,21/3/2024 16/28
3,14,20.81,21/3/2024 16/28
3,15,20.44,21/3/2024 16/28
3,16,20.19,21/3/2024 16/28
3,17,20.44,21/3/2024 16/28
3,18,20.06,21/3/2024 16/28
3,19,20.31,21/3/2024 16/28
3,20,20.12,21/3/2024 16/28
3,21,20.87,21/3/2024 16/28
3,0,20.69,21/3/2024 16/30
3,1,20.56,21/3/2024 16/30
3,2,20.69,21/3/2024 16/30
3,3,21.37,21/3/2024 16/30
3,4,19.87,21/3/2024 16/30
3,5,20.87,21/3/2024 16/30
3,6,20.5,21/3/2024 16/30
3,7,20.44,21/3/2024 16/30
3,8,20.94,21/3/2024 16/30
3,9,21,21/3/2024 16/30
3,10,20.94,21/3/2024 16/30
3,11,20.56,21/3/2024 16/30
3,12,20,21/3/2024 16/30
3,13,20.62,21/3/2024 16/30
3,14,37.63,21/3/2024 16/30
3,15,20.44,21/3/2024 16/30
3,16,20.19,21/3/2024 16/30
3,17,20.5,21/3/2024 16/30
3,18,20.12,21/3/2024 16/30
3,19,20.37,21/3/2024 16/30
3,20,20.12,21/3/2024 16/30
3,21,20.81,21/3/2024 16/30
3,22,20.5,21/3/2024 16/30
3,0,20.69,21/3/2024 16/31
3,1,20.56,21/3/2024 16/31
3,2,20.62,21/3/2024 16/31
3,3,21.37,21/3/2024 16/31
3,4,19.81,21/3/2024 16/31
3,5,20.87,21/3/2024 16/31
3,6,20.56,21/3/2024 16/31
3,7,20.5,21/3/2024 16/31
3,8,20.94,21/3/2024 16/31
3,9,20.94,21/3/2024 16/31
3,10,20.94,21/3/2024 16/31
3,11,20.62,21/3/2024 16/31
3,12,20,21/3/2024 16/31
3,13,20.69,21/3/2024 16/31
3,14,56.81,21/3/2024 16/31
3,15,20.44,21/3/2024 16/31
3,16,20.19,21/3/2024 16/31
3,17,20.5,21/3/2024 16/31
3,18,20.19,21/3/2024 16/31
3,19,20.31,21/3/2024 16/31
3,20,20.19,21/3/2024 16/31
3,21,20.81,21/3/2024 16/31
3,22,20.5,21/3/2024 16/31
3,0,20.69,21/3/2024 16/32
3,1,20.5,21/3/2024 16/32
3,2,20.62,21/3/2024 16/32
3,3,21.37,21/3/2024 16/32
3,4,19.87,21/3/2024 16/32
3,5,20.94,21/3/2024 16/32
3,6,20.56,21/3/2024 16/32
3,7,20.44,21/3/2024 16/32
3,8,20.94,21/3/2024 16/32
3,9,20.87,21/3/2024 16/32
3,10,20.87,21/3/2024 16/32
3,11,20.56,21/3/2024 16/32
3,12,20.06,21/3/2024 16/32
3,13,20.62,21/3/2024 16/32
3,14,39.94,21/3/2024 16/32
3,15,20.44,21/3/2024 16/32
3,16,20.25,21/3/2024 16/32
3,18,20.19,21/3/2024 16/32
3,19,20.31,21/3/2024 16/32
3,20,20.12,21/3/2024 16/32
3,21,20.87,21/3/2024 16/32
3,22,20.44,21/3/2024 16/32
