Group,Device,Reading,DateTime
1,15,21.06,21/3/2024 16/36
1,16,20.5,21/3/2024 16/36
1,17,21.19,21/3/2024 16/36
1,18,20.44,21/3/2024 16/36
1,19,20.81,21/3/2024 16/36
1,20,20.75,21/3/2024 16/36
1,21,20.44,21/3/2024 16/36
1,22,20.25,21/3/2024 16/36
1,0,20.75,21/3/2024 16/37
1,1,21.19,21/3/2024 16/37
1,2,21.12,21/3/2024 16/37
1,3,21.81,21/3/2024 16/37
1,4,20.44,21/3/2024 16/37
1,5,20.44,21/3/2024 16/37
1,6,20.94,21/3/2024 16/37
1,7,20.94,21/3/2024 16/37
1,8,20.87,21/3/2024 16/37
1,9,20.5,21/3/2024 16/37
1,10,20.81,21/3/2024 16/37
1,11,21.19,21/3/2024 16/37
1,12,20.12,21/3/2024 16/37
1,13,20.69,21/3/2024 16/37
1,14,21.25,21/3/2024 16/37
1,15,21.06,21/3/2024 16/37
1,16,20.5,21/3/2024 16/37
1,17,21.19,21/3/2024 16/37
1,18,20.44,21/3/2024 16/37
1,19,20.81,21/3/2024 16/37
1,20,20.75,21/3/2024 16/37
1,21,20.44,21/3/2024 16/37
1,22,20.25,21/3/2024 16/37
1,0,20.75,21/3/2024 16/27
1,1,21.19,21/3/2024 16/27
1,2,21.19,21/3/2024 16/27
1,3,21.81,21/3/2024 16/27
1,4,20.5,21/3/2024 16/27
1,5,20.56,21/3/2024 16/27
1,6,21,21/3/2024 16/27
1,7,21,21/3/2024 16/27
1,8,20.94,21/3/2024 16/27
1,9,20.62,21/3/2024 16/27
1,10,20.87,21/3/2024 16/27
1,11,21.25,21/3/2024 16/27
1,12,20.19,21/3/2024 16/27
1,13,20.69,21/3/2024 16/27
1,14,21.31,21/3/2024 16/27
1,15,21.06,21/3/2024 16/27
1,16,20.62,21/3/2024 16/27
1,17,21.25,21/3/2024 16/27
1,18,20.44,21/3/2024 16/27
1,19,20.81,21/3/2024 16/27
1,20,20.81,21/3/2024 16/27
1,21,20.5,21/3/2024 16/27
1,22,20.44,21/3/2024 16/27
1,0,20.81,21/3/2024 16/28
1,1,21.19,21/3/2024 16/28
1,3,21.81,21/3/2024 16/28
1,4,20.5,21/3/2024 16/28
1,5,20.62,21/3/2024 16/28
1,6,21.06,21/3/2024 16/28
1,7,21,21/3/2024 16/28
1,8,20.94,21/3/2024 16/28
1,9,20.69,21/3/2024 16/28
1,10,20.87,21/3/2024 16/28
1,11,21.25,21/3/2024 16/28
1,12,20.25,21/3/2024 16/28
1,13,20.75,21/3/2024 16/28
1,14,21.31,21/3/2024 16/28
